nome,url,ISIN
Amundi Physical Gold Etc,https://www.teleborsa.it/etc/amundi-physical-gold-etc-gold-fr0013416716-MzcuR09MRA,FR0013416716
Vanguard S&P 500 Ucits Etf Acc,https://www.teleborsa.it/etf/vanguard-s-p-500-ucits-etf-acc-vuaa-ie00bfmxxd54-MzcuVlVBQQ,IE00BFMXXD54
Xtrackers Ii Eur Ovni Rate Swa Ucits Etf,https://www.teleborsa.it/etf/xtrackers-ii-eur-ovni-rate-swa-ucits-etf-xeon-lu0290358497-MzcuWEVPTg,LU0290358497
Vanguard Ftse All-World Ucits Etf A,https://www.teleborsa.it/etf/vanguard-ftse-all-world-ucits-etf-a-vwce-ie00bk5bqt80-MzcuVldDRQ,IE00BK5BQT80
Xtrackers Msci World Ex Usa Ucits Etf,https://www.teleborsa.it/etf/xtrackers-msci-world-ex-usa-ucits-etf-exus-ie0006ww1tq4-MzcuRVhVUw,IE0006WW1TQ4

# ====================================
# SOTTOSTANTI
# ====================================

Stellantis,https://www.teleborsa.it/azioni/stellantis-stlam-nl00150001q9-TkwwMDE1MDAwMVE5,NL00150001Q9
Volkswagen,https://www.teleborsa.it/azioni/volkswagen-1vow3-de0007664039-REUwMDA3NjY0MDM5,DE0007664039
Airbus,https://www.teleborsa.it/azioni/airbus-1air-nl0000235190-TkwwMDAwMjM1MTkw,NL0000235190
Puma,https://www.teleborsa.it/azioni/puma-1pum-de0006969603-REUwMDA2OTY5NjAz,DE0006969603
Adidas,https://www.teleborsa.it/azioni/adidas-1ads-de000a1ewww0-REUwMDBBMUVXV1cw,DE000A1EWWW0
Dick'S Sporting Goods Inc,https://www.teleborsa.it/azioni/dick-s-sporting-goods-inc-1dks-us-VVMyNTMzOTMxMDI2,US2533931026
V.F.,https://www.teleborsa.it/azioni/v-f-1vfc-us-VVM5MTgyMDQxMDgw,US9182041080
Nike,https://www.teleborsa.it/azioni/nike-1nke-us-VVM2NTQxMDYxMDMx,US6541061031
Amazon,https://www.teleborsa.it/azioni/amazon-1amzn-us-VVMwMjMxMzUxMDY3,US0231351067
